type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
incident,12.903,77.5605,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'312'}",2,0,0,10,0.28,Hosur Road,Silk Board
incident,12.9045,77.559,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'221'}",3,0,0,7,0.34,KR Puram Main Road,KR Puram
incident,12.903,77.571,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'246'}",2,0,0,8,0.3,Whitefield Main Road,Whitefield
incident,12.9341,77.6112,"{'amenity':'incident','incident:category':'crime','incident:type':'Robbery','total:incidents':'52'}",3,1,2,3,0.63,5th Block Main Road,Koramangala
incident,13.0382,77.5919,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'189'}",3,1,1,4,0.55,Hebbal Flyover,Hebbal
incident,12.9553,77.6984,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'178'}",3,1,1,6,0.49,Outer Ring Road,Marathahalli
incident,12.903,77.5605,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'312'}",2,0,0,10,0.28,Hosur Road,Silk Board
incident,12.9045,77.559,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'221'}",3,0,0,7,0.34,KR Puram Main Road,KR Puram
incident,12.903,77.571,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'246'}",2,0,0,8,0.3,Whitefield Main Road,Whitefield
incident,12.9341,77.6112,"{'amenity':'incident','incident:category':'crime','incident:type':'Robbery','total:incidents':'52'}",3,1,2,3,0.63,5th Block Main Road,Koramangala
incident,13.0382,77.5919,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'189'}",3,1,1,4,0.55,Hebbal Flyover,Hebbal
incident,12.914,77.6102,"{'amenity':'incident','incident:category':'crime','incident:type':'Theft','total:incidents':'84'}",3,1,1,5,0.48,BTM Main Road,BTM Layout
incident,12.9964,77.7614,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'164'}",2,0,1,6,0.36,Whitefield Main Road,Whitefield
incident,12.9855,77.6054,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'72'}",3,2,2,4,0.57,Shivajinagar Market Rd,Shivajinagar
incident,12.9176,77.4837,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'93'}",3,0,1,6,0.42,Kengeri Main Road,Kengeri
incident,13.0297,77.5753,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'41'}",3,1,1,4,0.52,Sanjaynagar Main Road,Sanjaynagar
incident,12.9185,77.6108,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Snatching','total:incidents':'38'}",3,1,1,4,0.52,7th Main Road,BTM Layout
incident,12.9692,77.6381,"{'amenity':'incident','incident:category':'crime','incident:type':'Chain Snatching','total:incidents':'21'}",3,1,1,3,0.58,CMH Road,Indiranagar
incident,12.9334,77.626,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'47'}",2,1,1,6,0.44,80 Feet Road,Koramangala
incident,13.0271,77.5911,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'32'}",3,1,1,4,0.51,Ganganagar Main Rd,Ganganagar
incident,12.9728,77.6208,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'63'}",3,2,2,5,0.59,MG Road,MG Road
incident,12.9618,77.6387,"{'amenity':'incident','incident:category':'crime','incident:type':'Street Fight','total:incidents':'19'}",3,1,1,3,0.57,Old Madras Road,Ulsoor
incident,13.046,77.5574,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'26'}",3,1,1,4,0.53,BEL Road,Jalahalli
incident,13.0742,77.5963,"{'amenity':'incident','incident:category':'crime','incident:type':'Robbery','total:incidents':'15'}",3,1,1,3,0.56,Yelahanka Main Rd,Yelahanka
incident,12.8971,77.5804,"{'amenity':'incident','incident:category':'crime','incident:type':'House Theft','total:incidents':'17'}",3,1,1,3,0.55,Kanakapura Road,JP Nagar
incident,12.8843,77.6082,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Theft','total:incidents':'22'}",3,1,1,4,0.5,Bannerghatta Road,Bannerghatta
incident,12.8611,77.6528,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'131'}",2,1,1,6,0.39,Hosur Road,Electronic City
incident,12.9128,77.6263,"{'amenity':'incident','incident:category':'crime','incident:type':'Snatching','total:incidents':'29'}",3,1,1,4,0.52,Sarjapur Road,HSR Layout
incident,12.9364,77.7041,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'87'}",3,1,1,5,0.46,Varthur Road,Varthur
incident,13.0088,77.6955,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'35'}",3,1,1,4,0.51,KR Puram Bridge Rd,KR Puram
incident,13.0226,77.6487,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'18'}",3,1,1,3,0.57,Hennur Road,Hennur
incident,12.9718,77.6412,"{'amenity':'incident','incident:category':'crime','incident:type':'Phone Theft','total:incidents':'27'}",3,1,2,4,0.56,12th Main Road,Indiranagar
incident,12.9526,77.6101,"{'amenity':'incident','incident:category':'crime','incident:type':'Bag Snatching','total:incidents':'16'}",3,1,1,3,0.55,Double Road,Wilson Garden
incident,12.9339,77.5921,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'41'}",3,1,1,5,0.48,Gandhi Bazaar Road,Basavanagudi
incident,12.9183,77.596,"{'amenity':'incident','incident:category':'crime','incident:type':'Street Robbery','total:incidents':'13'}",3,1,1,3,0.56,4th Block Road,Jayanagar
incident,12.8982,77.5969,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Theft','total:incidents':'24'}",3,1,1,4,0.51,24th Main Road,JP Nagar
incident,12.8764,77.6071,"{'amenity':'incident','incident:category':'crime','incident:type':'Chain Snatching','total:incidents':'11'}",3,1,1,3,0.57,Hulimavu Road,Hulimavu
incident,12.8562,77.6544,"{'amenity':'incident','incident:category':'Accident','incident:type':'Vehicle Collision','total:incidents':'93'}",2,1,1,6,0.4,Hosur Elevated Road,Electronic City
incident,12.9176,77.6364,"{'amenity':'incident','incident:category':'crime','incident:type':'Scooter Theft','total:incidents':'31'}",3,1,1,4,0.52,Sarjapur Junction Rd,HSR Layout
incident,12.9391,77.6902,"{'amenity':'incident','incident:category':'Accident','incident:type':'Road Accident','total:incidents':'76'}",3,1,1,5,0.46,Marathahalli Bridge Rd,Marathahalli
incident,12.9659,77.7034,"{'amenity':'incident','incident:category':'crime','incident:type':'Laptop Theft','total:incidents':'18'}",3,1,1,3,0.56,Kundalahalli Main Rd,Brookefield
incident,12.9896,77.7521,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'37'}",3,1,1,4,0.5,Hope Farm Road,Whitefield
incident,13.0102,77.6991,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'28'}",3,1,1,4,0.52,KR Puram Station Rd,KR Puram
incident,13.0246,77.6531,"{'amenity':'incident','incident:category':'crime','incident:type':'House Break-in','total:incidents':'14'}",3,1,1,3,0.57,Hennur Cross Rd,Hennur
incident,13.0412,77.6075,"{'amenity':'incident','incident:category':'crime','incident:type':'ATM Theft','total:incidents':'9'}",3,1,1,2,0.6,Hebbal Ring Road,Hebbal
incident,13.0639,77.5706,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'22'}",3,1,1,3,0.55,Vidyaranyapura Main Rd,Vidyaranyapura
incident,12.9674,77.6128,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'34'}",3,2,2,4,0.6,Church Street,MG Road
incident,12.9613,77.6078,"{'amenity':'incident','incident:category':'crime','incident:type':'Wallet Theft','total:incidents':'19'}",3,1,2,3,0.58,Brigade Road Lane,Brigade Road
incident,12.9489,77.6033,"{'amenity':'incident','incident:category':'crime','incident:type':'Chain Snatching','total:incidents':'23'}",3,1,1,4,0.51,Dairy Circle Rd,Dairy Circle
incident,12.9415,77.5942,"{'amenity':'incident','incident:category':'crime','incident:type':'Scooter Theft','total:incidents':'27'}",3,1,1,4,0.5,KH Road,Shantinagar
incident,12.9311,77.5806,"{'amenity':'incident','incident:category':'crime','incident:type':'House Break-in','total:incidents':'12'}",3,1,1,3,0.57,10th Cross Road,Jayanagar
incident,12.9207,77.5661,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'29'}",3,1,1,4,0.51,Banashankari Ring Rd,Banashankari
incident,12.9119,77.553,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Theft','total:incidents':'18'}",3,1,1,3,0.55,Padmanabhanagar Rd,Padmanabhanagar
incident,12.902,77.5401,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'14'}",3,1,1,3,0.56,Chikkalasandra Rd,Uttarahalli
incident,12.8904,77.5267,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'21'}",3,1,1,3,0.54,Thalaghattapura Rd,Thalaghattapura
incident,12.9793,77.5667,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'36'}",3,2,2,4,0.61,Majestic Circle Rd,Majestic
incident,12.991,77.5532,"{'amenity':'incident','incident:category':'crime','incident:type':'Shop Theft','total:incidents':'17'}",3,2,2,3,0.62,Platform Road,Seshadripuram
incident,13.0039,77.5402,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'25'}",3,1,1,4,0.5,80 Feet Road,Rajajinagar
incident,13.0156,77.5307,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'20'}",3,1,1,3,0.55,Mahalakshmi Layout Rd,Mahalakshmi Layout
incident,13.0279,77.5196,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'16'}",3,1,1,3,0.56,Peenya Industrial Rd,Peenya
incident,13.0415,77.5078,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'22'}",3,1,1,3,0.54,Bagalgunte Main Rd,Bagalgunte
incident,12.9641,77.6082,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'31'}",3,2,2,4,0.6,Brigade Lane,MG Road
incident,12.9576,77.6143,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Theft','total:incidents':'22'}",3,1,2,3,0.58,Lavelle Road,Ashoknagar
incident,12.9484,77.6181,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'19'}",3,1,1,3,0.55,Museum Road,Museum Area
incident,12.9399,77.6065,"{'amenity':'incident','incident:category':'crime','incident:type':'Chain Snatching','total:incidents':'15'}",3,1,1,3,0.54,KH Double Rd,Wilson Garden
incident,12.9321,77.5964,"{'amenity':'incident','incident:category':'crime','incident:type':'House Theft','total:incidents':'12'}",3,1,1,3,0.57,11th Cross Rd,Jayanagar
incident,12.9236,77.5849,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'25'}",3,1,1,4,0.51,4th Main Rd,Jayanagar
incident,12.9142,77.5731,"{'amenity':'incident','incident:category':'crime','incident:type':'Snatching','total:incidents':'17'}",3,1,1,3,0.55,80 Feet Road,Banashankari
incident,12.9053,77.5628,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'14'}",3,1,1,3,0.56,Padmanabhanagar Rd,Padmanabhanagar
incident,12.8972,77.5513,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'21'}",3,1,1,3,0.54,Subramanyapura Rd,Subramanyapura
incident,12.9884,77.5699,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'33'}",3,2,2,4,0.61,Majestic Circle Rd,Majestic
incident,12.9965,77.5584,"{'amenity':'incident','incident:category':'crime','incident:type':'Shop Theft','total:incidents':'16'}",3,2,2,3,0.62,Platform Rd,Seshadripuram
incident,13.0062,77.5485,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'23'}",3,1,1,4,0.5,Dr Rajkumar Road,Rajajinagar
incident,13.0154,77.5388,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'20'}",3,1,1,3,0.55,Nandini Layout Rd,Nandini Layout
incident,13.0251,77.5284,"{'amenity':'incident','incident:category':'crime','incident:type':'Burglary','total:incidents':'18'}",3,1,1,3,0.56,Peenya 2nd Stage,Peenya
incident,13.0358,77.5178,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'21'}",3,1,1,3,0.54,Jalahalli Cross Rd,Jalahalli
incident,13.0467,77.5074,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'19'}",3,1,1,3,0.55,Gangammanagudi Rd,Yeshwanthpur
incident,12.9652,77.6094,"{'amenity':'incident','incident:category':'crime','incident:type':'Pickpocket','total:incidents':'27'}",3,2,2,4,0.6,Brigade Lane,MG Road
incident,12.9581,77.6149,"{'amenity':'incident','incident:category':'crime','incident:type':'Mobile Theft','total:incidents':'22'}",3,1,2,3,0.58,Lavelle Road,Ashoknagar
incident,12.9478,77.6185,"{'amenity':'incident','incident:category':'crime','incident:type':'Bike Theft','total:incidents':'19'}",3,1,1,3,0.55,Museum Road,Museum Area
incident,12.9401,77.6072,"{'amenity':'incident','incident:category':'crime','incident:type':'Chain Snatching','total:incidents':'15'}",3,1,1,3,0.54,KH Double Rd,Wilson Garden
incident,12.932,77.5971,"{'amenity':'incident','incident:category':'crime','incident:type':'House Theft','total:incidents':'12'}",3,1,1,3,0.57,11th Cross Rd,Jayanagar
incident,12.9238,77.5855,"{'amenity':'incident','incident:category':'crime','incident:type':'Vehicle Theft','total:incidents':'25'}",3,1,1,4,0.51,4th Main Rd,Jayanagar
incident,12.9144,77.5737,"{'amenity':'incident','incident:category':'crime','incident:type':'Snatching','total:incidents':'17'}",3,1,1,3,0.55,80 Feet Road,Banashankari
