type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
street_lamp,13.0375738,77.6291879,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'operator': 'BESCOM', 'power': 'pole', 'working': 'yes'}",10,0,0,1,0.64,,Bengaluru
street_lamp,13.0292887,77.5633056,{'highway': 'street_lamp'},10,0,0,2,0.58,NIAS Road,Bengaluru
street_lamp,13.0292881,77.5633277,{'highway': 'street_lamp'},10,0,0,4,0.46,NIAS Road,Bengaluru
street_lamp,12.9795642,77.6361628,{'highway': 'street_lamp'},10,0,0,4,0.46,,Bengaluru
street_lamp,12.9795819,77.6360723,{'highway': 'street_lamp'},10,0,0,1,0.64,,Bengaluru
street_lamp,12.9795966,77.6359909,{'highway': 'street_lamp'},10,0,0,2,0.58,,Bengaluru
street_lamp,12.9796118,77.6359027,{'highway': 'street_lamp'},10,0,0,2,0.58,,Bengaluru
street_lamp,12.9796362,77.6357781,{'highway': 'street_lamp'},10,0,0,0,0.7,15th Cross Road,Bengaluru
street_lamp,12.9796924,77.6356906,{'highway': 'street_lamp'},10,0,0,1,0.64,15th Cross Road,Bengaluru
street_lamp,12.9797793,77.6357086,{'highway': 'street_lamp'},10,0,0,3,0.52,15th Cross Road,Bengaluru
street_lamp,12.9798811,77.6357309,{'highway': 'street_lamp'},10,0,0,2,0.58,15th Cross Road,Bengaluru
street_lamp,12.979965,77.6357449,{'highway': 'street_lamp'},10,0,0,1,0.64,15th Cross Road,Bengaluru
street_lamp,12.9800527,77.6357614,{'highway': 'street_lamp'},10,0,0,3,0.52,,Bengaluru
street_lamp,12.9801188,77.635772,{'highway': 'street_lamp'},10,0,0,2,0.58,5th Main Road,Bengaluru
street_lamp,13.0003952,77.6240987,{'highway': 'street_lamp'},10,0,0,3,0.52,High Street,bangalore
street_lamp,13.0003547,77.6238842,{'highway': 'street_lamp'},10,0,0,0,0.7,High Street,Bengaluru
street_lamp,13.000844,77.6238761,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,High Street,Bangalore
street_lamp,13.0009786,77.6239244,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,Wheeler Road Extension,Bangalore
street_lamp,13.0009185,77.6239029,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,High Street,Bangalore
street_lamp,13.000765,77.6238466,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,High Street,Bangalore
street_lamp,13.0010126,77.6239378,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,1,0.64,Wheeler Road Extension,Bangalore
street_lamp,13.0011197,77.6239749,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,Wheeler Road Extension,Bangalore
street_lamp,13.0010699,77.6239553,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,1,0.64,Wheeler Road Extension,Bangalore
street_lamp,13.0007382,77.6239298,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,High Street,Bangalore
street_lamp,13.0009275,77.6240434,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0009682,77.6240458,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0007336,77.6239532,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0006751,77.6241219,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,High Street,Bengaluru
street_lamp,13.0007009,77.6240438,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0008362,77.6239827,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'straight_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:shape': 'cylindrical', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.000778,77.6238801,"{'height': '10', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '50', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,High Street,Bangalore
street_lamp,13.0008407,77.6240194,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'straight_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:shape': 'cylindrical', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0008695,77.6240464,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,,Bengaluru
