type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
surveillance,12.9779004,77.584168,"{'camera:direction': '318', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,3,0.32,,Bengaluru
surveillance,13.0040647,77.6192601,"{'camera:direction': 'W', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'name': 'Shalom Apt Gate Camera 1', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,Davis Road,Bangalore
surveillance,12.9670078,77.6355011,"{'camera:mount': 'building', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'street'}",5,0,1,0,0.5,4th Main Road,Bengaluru
surveillance,13.0192437,77.564784,{'man_made': 'surveillance'},5,0,1,2,0.38,,Bengaluru
surveillance,13.0164591,77.5630553,{'man_made': 'surveillance'},5,0,1,2,0.38,Mandhara Marg,Bengaluru
surveillance,13.016811,77.5629092,{'man_made': 'surveillance'},5,0,1,1,0.44,Mandhara Marg,Bengaluru
surveillance,13.0275594,77.5713775,{'man_made': 'surveillance'},5,0,1,0,0.5,New BEL Road,Bengaluru
surveillance,13.0126128,77.5689946,{'man_made': 'surveillance'},5,0,1,2,0.38,CV Raman Road,Bengaluru
surveillance,12.9699507,77.636018,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,12th Main Road,Bengaluru
surveillance,12.9655057,77.5349283,"{'description': 'CCTV', 'man_made': 'surveillance'}",5,0,1,2,0.38,Chord Road,Bengaluru
surveillance,12.9651401,77.5348464,"{'description': 'Vijayanagar TTMC', 'man_made': 'surveillance', 'name': 'CCTV'}",5,0,1,0,0.5,Chord Road,Bengaluru
surveillance,12.9578343,77.5342179,"{'man_made': 'surveillance', 'name': 'Surveillance camera'}",5,0,1,4,0.26,Sha Shi Marulayya Road,Bengaluru
surveillance,12.9737679,77.6138022,"{'camera:direction': '180', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'name': 'Pole 5', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,Mahatma Gandhi Road,Bengaluru
surveillance,12.974344,77.6110621,"{'camera:direction': '180', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'name': 'Pole 4', 'surveillance': 'traffic', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,0,0.5,,Bengaluru
surveillance,13.0064362,77.5787556,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2023-10-31', 'man_made': 'surveillance', 'operator': 'BTP', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,1,0.44,Vyalikaval Main Road,Bengaluru
surveillance,12.9344914,77.6123667,"{'camera:mount': 'traffic_signals', 'camera:type': 'panning', 'check_date': '2021-12-05', 'man_made': 'surveillance', 'operator': 'BTP', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,,80 Feet Road
surveillance,12.9102739,77.5952023,"{'camera:mount': 'traffic_signals', 'camera:type': 'panning', 'check_date': '2023-11-01', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,9th Cross Road
surveillance,13.0043155,77.6186189,"{'camera:direction': '100', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'operator': 'Apartment', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'building'}",5,0,1,0,0.5,Cookson Road,Bangalore
surveillance,13.0036358,77.6168195,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'name': 'CCTV', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,3,0.32,,Bengaluru
surveillance,13.0040539,77.6197036,"{'camera:mount': 'traffic_signals', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,0,0.5,,Bengaluru
surveillance,13.0049492,77.6173656,"{'camera:direction': '280;0;120', 'camera:mount': 'pole', 'camera:type': 'fixed', 'description': '3 Cameras on 1 pole', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,2,0.38,Clarke Road,Bengaluru
surveillance,13.0047271,77.6172604,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,1,0.44,,Bengaluru
surveillance,12.9311267,77.6233088,"{'camera:direction': '30', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,3,0.32,6th A Cross Road,
surveillance,12.9308146,77.6230211,"{'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,2,0.38,6th A Cross Road,Food Triangle
surveillance,13.0056695,77.580865,"{'camera:type': 'dome', 'check_date': '2024-07-17', 'man_made': 'surveillance', 'name': 'CCTV', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,4,0.26,16th Cross Road,Bengaluru
surveillance,13.0091572,77.5805054,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2022-12-15', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,2,0.38,8th Main Road,Bengaluru
surveillance,13.0084718,77.5715886,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,2,0.38,,Bengaluru
surveillance,13.0084993,77.5711547,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,0,0.5,,Bengaluru
surveillance,12.9995879,77.6232746,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,4,0.26,,Bengaluru
surveillance,12.9996458,77.623085,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,4,0.26,Wheeler Road Extension,Bangalore
surveillance,12.9996571,77.6230575,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,2,0.38,Wheeler Road Extension,Bangalore
surveillance,13.001928,77.6121952,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town', 'survey:date': '2022-06-11'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9991284,77.6104064,"{'camera:mount': 'wall', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'camera', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9935113,77.6073388,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2022-09-12', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,4,0.26,,Bengaluru
surveillance,12.9905635,77.5994986,"{'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,1,0.44,Queen's Road,Bengaluru
surveillance,12.9843792,77.597122,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2023-10-30', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9803297,77.596906,"{'man_made': 'surveillance', 'surveillance': 'public'}",5,0,1,2,0.38,King's Road,Bengaluru
surveillance,12.9807772,77.5974151,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,3,0.32,Cubbon Road,Bengaluru
surveillance,12.9803563,77.5970834,"{'man_made': 'surveillance', 'surveillance': 'public'}",5,0,1,1,0.44,King's Road,Bengaluru
surveillance,12.9896165,77.5927697,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,0,0.5,Millers Road,Bengaluru
surveillance,12.9935331,77.5957065,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,1,0.44,,Bengaluru
surveillance,12.9747424,77.6200275,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2022-09-25', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,0,0.5,Halasuru Road,Bengaluru
surveillance,13.0058786,77.6237269,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,1,0.44,Hutchins Main Road,Bangalore
surveillance,12.9783736,77.6443255,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,2,0.38,Chinmaya Mission Hospital Road,Bengaluru
surveillance,12.9784381,77.6442049,"{'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,1,0.44,Chinmaya Mission Hospital Road,Bengaluru
surveillance,12.9818215,77.6229337,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,2,0.38,,Bengaluru
surveillance,13.0018833,77.6330181,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,2,0.38,7th B Cross Road,Bengaluru
surveillance,12.9784382,77.6442184,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,2,0.38,Chinmaya Mission Hospital Road,Bengaluru
surveillance,13.000987,77.6270416,"{'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,2,0.38,DaCosta Layout 2nd Cross,Bangalore
surveillance,13.0019009,77.6329291,{'man_made': 'surveillance'},5,0,1,2,0.38,7th B Cross Road,Bengaluru
surveillance,12.9716676,77.6196001,"{'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,4,0.26,,Bengaluru
surveillance,12.9721567,77.6194325,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,0,0.5,,Bengaluru
surveillance,12.9423798,77.6227483,{'man_made': 'surveillance'},5,0,1,0,0.5,80 Feet Road,Just Dogs
surveillance,12.9424075,77.6227122,{'man_made': 'surveillance'},5,0,1,1,0.44,80 Feet Road,Just Dogs
surveillance,12.9838179,77.5941061,{'man_made': 'surveillance'},5,0,1,1,0.44,,Bengaluru
surveillance,12.9838335,77.5941759,{'man_made': 'surveillance'},5,0,1,0,0.5,,Bengaluru
surveillance,12.9688225,77.6481309,{'man_made': 'surveillance'},5,0,1,2,0.38,Jeevan Bhima Nagar Main Road,Sree Venkateshwara Iyengar's bakery and sweets
surveillance,13.0051679,77.5665881,"{'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'building'}",5,0,1,4,0.26,6th Main Road,Bengaluru
surveillance,12.97579,77.6202192,{'man_made': 'surveillance'},5,0,1,1,0.44,,Bengaluru
surveillance,12.9710184,77.5975255,"{'camera:mount': 'building', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,2,0.38,Vittal Mallya Road,Bangalore
surveillance,12.9712442,77.5976968,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,1,0.44,,Bengaluru
surveillance,12.9712472,77.5977061,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2023-10-02', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,Bengaluru
surveillance,13.0228188,77.6371679,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,0,0.5,,Bengaluru
surveillance,12.9345018,77.6123225,"{'camera:mount': 'traffic_signals', 'camera:type': 'panning', 'check_date': '2021-12-05', 'man_made': 'surveillance', 'operator': 'BTP', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,3,0.32,,80 Feet Road
surveillance,12.9345024,77.6123307,"{'camera:mount': 'traffic_signals', 'camera:type': 'panning', 'check_date': '2021-12-05', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,0,0.5,,80 Feet Road
surveillance,12.9344115,77.6124006,"{'camera:mount': 'pole', 'camera:type': 'dome', 'check_date': '2021-12-05', 'man_made': 'surveillance', 'operator': 'BTP', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,,Hosur Road
surveillance,12.9345083,77.612345,"{'camera:mount': 'traffic_signals', 'camera:type': 'panning', 'check_date': '2021-12-05', 'man_made': 'surveillance', 'operator': 'BTP', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,,80 Feet Road
surveillance,12.9764872,77.5994312,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.907045,77.6287929,"{'camera:type': 'dome', 'check_date': '2024-12-07', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,Begur Road
surveillance,12.9091872,77.6276624,"{'camera:type': 'dome', 'check_date': '2024-07-06', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,0,0.5,,Service Road
surveillance,12.9147708,77.5996975,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",5,0,1,3,0.32,Bannerghatta Road,IBO
surveillance,12.971918,77.6070349,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,1,0.44,Brigade Road,Bengaluru
